brand,category,product_name,material,retailer,season,rating,discount_percent,original_price,current_price,image_url,product_url,date_scraped
Marks & Spencer,Sweater,Marks & Spencer Sweater,Linen,Amazon India,Monsoon,4.8,60,11094.01,4437.61,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.amazon.in/s?k=Marks+&+Spencer+Sweater,2025-10-29
Zara,Jeans,Zara Jeans,Polyester,Flipkart,Monsoon,4.6,20,2978.27,2382.62,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400,https://www.flipkart.com/search?q=Zara+Jeans,2025-10-29
Breakbounce,Shirt,Breakbounce Shirt,Synthetic,Amazon India,Winter,3.4,60,2342.17,936.87,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.amazon.in/s?k=Breakbounce+Shirt,2025-10-29
Vero Moda,Chinos,Vero Moda Chinos,Cotton,Myntra,Winter,3.7,0,1283.03,1283.03,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.myntra.com/shop/Vero+Moda+Chinos,2025-10-29
Marks & Spencer,Coat,Marks & Spencer Coat,Silk,Amazon India,Winter,4.6,15,12996.7,11047.2,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.amazon.in/s?k=Marks+&+Spencer+Coat,2025-10-29
H&M,Jacket,H&M Jacket,Cotton,Lifestyle,Winter,3.7,25,2308.64,1731.48,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400,https://www.lifestylestores.com/in/en/search/?text=H&M+Jacket,2025-10-29
Nike,Pants,Nike Pants,Synthetic,Ajio,Winter,3.8,20,1440.69,1152.55,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.ajio.com/search/?text=Nike+Pants,2025-10-29
Peter England,Blazer,Peter England Blazer,Viscose,Myntra,Summer,4.2,0,1184.25,1184.25,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.myntra.com/shop/Peter+England+Blazer,2025-10-29
Levi's,Pants,Levi's Pants,Denim,Max Fashion,Summer,4.1,25,3429.23,2571.92,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.maxfashion.in/in/en/search/?text=Levi's+Pants,2025-10-29
Vero Moda,Dress,Vero Moda Dress,Denim,Westside,Monsoon,3.7,30,3953.39,2767.37,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.westside.com/search?q=Vero+Moda+Dress,2025-10-29
Flying Machine,Blazer,Flying Machine Blazer,Viscose,Shoppers Stop,Monsoon,4.2,30,2356.84,1649.79,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.shoppersstop.com/search?q=Flying+Machine+Blazer,2025-10-29
Vero Moda,Pants,Vero Moda Pants,Viscose,Flipkart,Monsoon,4.1,40,2723.21,1633.93,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.flipkart.com/search?q=Vero+Moda+Pants,2025-10-29
Zara,Jeans,Zara Jeans,Cotton,Flipkart,Spring,4.4,15,1964.31,1669.66,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400,https://www.flipkart.com/search?q=Zara+Jeans,2025-10-29
Flying Machine,Polo,Flying Machine Polo,Silk,Westside,Summer,4.1,20,1061.12,848.89,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.westside.com/search?q=Flying+Machine+Polo,2025-10-29
Calvin Klein,Shirt,Calvin Klein Shirt,Viscose,Lifestyle,Summer,4.6,20,2022.58,1618.07,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.lifestylestores.com/in/en/search/?text=Calvin+Klein+Shirt,2025-10-29
Athena,Coat,Athena Coat,Leather,Reliance Trends,Spring,3.6,25,1811.79,1358.84,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.reliancetrends.com/search?q=Athena+Coat,2025-10-29
Allen Solly,Pants,Allen Solly Pants,Cotton,Ajio,Monsoon,3.9,15,1845.33,1568.53,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.ajio.com/search/?text=Allen+Solly+Pants,2025-10-29
Zara,Dress,Zara Dress,Cotton,Reliance Trends,Summer,4.7,10,6661.31,5995.17,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.reliancetrends.com/search?q=Zara+Dress,2025-10-29
Levi's,Pants,Levi's Pants,Denim,Shoppers Stop,Monsoon,4.2,10,2835.2,2551.68,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.shoppersstop.com/search?q=Levi's+Pants,2025-10-29
Calvin Klein,Blazer,Calvin Klein Blazer,Synthetic,Reliance Trends,Monsoon,4.2,25,9897.29,7422.97,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.reliancetrends.com/search?q=Calvin+Klein+Blazer,2025-10-29
Forever New,Polo,Forever New Polo,Synthetic,Max Fashion,Monsoon,3.8,70,3934.95,1180.49,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.maxfashion.in/in/en/search/?text=Forever+New+Polo,2025-10-29
Allen Solly,Jeans,Allen Solly Jeans,Blend,Westside,Winter,3.9,20,3482.91,2786.33,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400,https://www.westside.com/search?q=Allen+Solly+Jeans,2025-10-29
Adidas,Shirt,Adidas Shirt,Denim,Shoppers Stop,Winter,3.8,70,10453.89,3136.17,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.shoppersstop.com/search?q=Adidas+Shirt,2025-10-29
Raymond,Blazer,Raymond Blazer,Blend,Ajio,Summer,4.1,20,2339.83,1871.86,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.ajio.com/search/?text=Raymond+Blazer,2025-10-29
HRX,Coat,HRX Coat,Synthetic,Max Fashion,Summer,3.9,20,2468.24,1974.59,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.maxfashion.in/in/en/search/?text=HRX+Coat,2025-10-29
HRX,Jeans,HRX Jeans,Wool,Amazon India,All-Season,3.5,25,2064.0,1548.0,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400,https://www.amazon.in/s?k=HRX+Jeans,2025-10-29
Zara,Chinos,Zara Chinos,Polyester,Reliance Trends,Monsoon,4.2,40,3678.27,2206.96,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.reliancetrends.com/search?q=Zara+Chinos,2025-10-29
Zara,Dress,Zara Dress,Polyester,Shoppers Stop,Winter,4.7,20,4204.12,3363.3,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.shoppersstop.com/search?q=Zara+Dress,2025-10-29
Athena,T-Shirt,Athena T-Shirt,Denim,Amazon India,All-Season,3.5,10,370.78,333.7,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.amazon.in/s?k=Athena+T-Shirt,2025-10-29
W for Woman,Jeans,W for Woman Jeans,Silk,Reliance Trends,Spring,3.6,20,3346.45,2677.16,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400,https://www.reliancetrends.com/search?q=W+for+Woman+Jeans,2025-10-29
Breakbounce,Dress,Breakbounce Dress,Cotton,Max Fashion,Spring,4.1,10,1857.01,1671.31,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.maxfashion.in/in/en/search/?text=Breakbounce+Dress,2025-10-29
Louis Philippe,Jacket,Louis Philippe Jacket,Blend,Lifestyle,All-Season,4.3,30,4575.12,3202.58,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400,https://www.lifestylestores.com/in/en/search/?text=Louis+Philippe+Jacket,2025-10-29
Vero Moda,T-Shirt,Vero Moda T-Shirt,Silk,Amazon India,Winter,3.5,30,1482.42,1037.7,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.amazon.in/s?k=Vero+Moda+T-Shirt,2025-10-29
Only,Skirt,Only Skirt,Blend,Lifestyle,Spring,3.8,10,1947.9,1753.11,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.lifestylestores.com/in/en/search/?text=Only+Skirt,2025-10-29
Peter England,Dress,Peter England Dress,Synthetic,Reliance Trends,Spring,4.1,50,2158.01,1079.0,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.reliancetrends.com/search?q=Peter+England+Dress,2025-10-29
Being Human,Pants,Being Human Pants,Linen,Reliance Trends,Winter,4.0,15,2065.63,1755.78,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.reliancetrends.com/search?q=Being+Human+Pants,2025-10-29
H&M,Hoodie,H&M Hoodie,Synthetic,Max Fashion,Winter,3.5,10,673.99,606.59,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,https://www.maxfashion.in/in/en/search/?text=H&M+Hoodie,2025-10-29
Only,Skirt,Only Skirt,Wool,Lifestyle,Monsoon,4.1,0,1237.04,1237.04,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.lifestylestores.com/in/en/search/?text=Only+Skirt,2025-10-29
AND,Coat,AND Coat,Silk,Ajio,All-Season,3.8,15,8684.74,7382.03,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.ajio.com/search/?text=AND+Coat,2025-10-29
Van Heusen,Shirt,Van Heusen Shirt,Silk,Flipkart,Summer,4.3,30,2228.38,1559.87,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.flipkart.com/search?q=Van+Heusen+Shirt,2025-10-29
Calvin Klein,Blazer,Calvin Klein Blazer,Viscose,Shoppers Stop,Summer,4.8,20,5129.62,4103.7,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.shoppersstop.com/search?q=Calvin+Klein+Blazer,2025-10-29
Marks & Spencer,Shirt,Marks & Spencer Shirt,Blend,Myntra,Winter,4.3,50,4772.22,2386.11,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.myntra.com/shop/Marks+&+Spencer+Shirt,2025-10-29
Athena,T-Shirt,Athena T-Shirt,Synthetic,Westside,All-Season,4.0,30,415.23,290.66,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.westside.com/search?q=Athena+T-Shirt,2025-10-29
Van Heusen,Chinos,Van Heusen Chinos,Cotton,Flipkart,Spring,4.2,40,1128.95,677.37,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.flipkart.com/search?q=Van+Heusen+Chinos,2025-10-29
Tommy Hilfiger,Polo,Tommy Hilfiger Polo,Synthetic,Flipkart,Winter,4.4,40,2751.2,1650.72,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.flipkart.com/search?q=Tommy+Hilfiger+Polo,2025-10-29
Vero Moda,Shirt,Vero Moda Shirt,Synthetic,Max Fashion,Summer,3.7,15,1021.29,868.09,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.maxfashion.in/in/en/search/?text=Vero+Moda+Shirt,2025-10-29
Zara,Shirt,Zara Shirt,Viscose,Reliance Trends,Summer,4.5,50,6261.63,3130.81,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.reliancetrends.com/search?q=Zara+Shirt,2025-10-29
Mast & Harbour,Sweater,Mast & Harbour Sweater,Linen,Ajio,Winter,4.2,25,1766.16,1324.62,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.ajio.com/search/?text=Mast+&+Harbour+Sweater,2025-10-29
US Polo Assn,Shirt,US Polo Assn Shirt,Silk,Shoppers Stop,Monsoon,3.6,10,1607.53,1446.78,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.shoppersstop.com/search?q=US+Polo+Assn+Shirt,2025-10-29
Louis Philippe,Hoodie,Louis Philippe Hoodie,Blend,Ajio,Winter,4.0,60,4260.87,1704.35,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,https://www.ajio.com/search/?text=Louis+Philippe+Hoodie,2025-10-29
HRX,Jacket,HRX Jacket,Synthetic,Westside,Summer,3.8,15,2419.34,2056.44,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400,https://www.westside.com/search?q=HRX+Jacket,2025-10-29
Only,Blazer,Only Blazer,Blend,Amazon India,Summer,3.4,60,8327.73,3331.09,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.amazon.in/s?k=Only+Blazer,2025-10-29
Marks & Spencer,Skirt,Marks & Spencer Skirt,Cotton,Lifestyle,Monsoon,4.2,70,10617.06,3185.12,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.lifestylestores.com/in/en/search/?text=Marks+&+Spencer+Skirt,2025-10-29
Flying Machine,T-Shirt,Flying Machine T-Shirt,Blend,Lifestyle,All-Season,3.7,10,493.32,443.99,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.lifestylestores.com/in/en/search/?text=Flying+Machine+T-Shirt,2025-10-29
Vero Moda,Polo,Vero Moda Polo,Blend,Westside,Summer,4.0,20,1413.48,1130.78,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.westside.com/search?q=Vero+Moda+Polo,2025-10-29
Peter England,Sweater,Peter England Sweater,Blend,Myntra,All-Season,4.0,15,1849.76,1572.29,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.myntra.com/shop/Peter+England+Sweater,2025-10-29
Wrogn,Pants,Wrogn Pants,Viscose,Shoppers Stop,Spring,4.1,20,1925.43,1540.34,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.shoppersstop.com/search?q=Wrogn+Pants,2025-10-29
Zara,Shirt,Zara Shirt,Leather,Flipkart,All-Season,4.7,15,4333.61,3683.57,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.flipkart.com/search?q=Zara+Shirt,2025-10-29
Vero Moda,Hoodie,Vero Moda Hoodie,Polyester,Westside,Monsoon,3.5,0,873.44,873.44,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,https://www.westside.com/search?q=Vero+Moda+Hoodie,2025-10-29
US Polo Assn,Skirt,US Polo Assn Skirt,Cotton,Shoppers Stop,Summer,3.8,20,2318.51,1854.8,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.shoppersstop.com/search?q=US+Polo+Assn+Skirt,2025-10-29
Van Heusen,Chinos,Van Heusen Chinos,Synthetic,Shoppers Stop,Summer,4.1,20,2133.85,1707.08,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.shoppersstop.com/search?q=Van+Heusen+Chinos,2025-10-29
Calvin Klein,Polo,Calvin Klein Polo,Viscose,Ajio,All-Season,4.4,20,3618.9,2895.12,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.ajio.com/search/?text=Calvin+Klein+Polo,2025-10-29
Nike,Coat,Nike Coat,Blend,Flipkart,Monsoon,3.5,25,8548.39,6411.29,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.flipkart.com/search?q=Nike+Coat,2025-10-29
W for Woman,Pants,W for Woman Pants,Blend,Ajio,All-Season,3.5,20,848.02,678.42,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.ajio.com/search/?text=W+for+Woman+Pants,2025-10-29
Raymond,Skirt,Raymond Skirt,Synthetic,Shoppers Stop,Spring,4.2,15,1519.74,1291.78,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.shoppersstop.com/search?q=Raymond+Skirt,2025-10-29
Flying Machine,Jacket,Flying Machine Jacket,Polyester,Flipkart,Winter,3.8,30,2582.87,1808.01,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400,https://www.flipkart.com/search?q=Flying+Machine+Jacket,2025-10-29
Only,Blazer,Only Blazer,Linen,Lifestyle,Spring,3.9,40,8612.57,5167.54,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.lifestylestores.com/in/en/search/?text=Only+Blazer,2025-10-29
Puma,Jacket,Puma Jacket,Wool,Shoppers Stop,Winter,3.7,25,5648.51,4236.38,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400,https://www.shoppersstop.com/search?q=Puma+Jacket,2025-10-29
Forever New,Dress,Forever New Dress,Viscose,Myntra,Monsoon,3.7,20,2049.42,1639.54,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.myntra.com/shop/Forever+New+Dress,2025-10-29
Roadster,Coat,Roadster Coat,Polyester,Lifestyle,Monsoon,4.0,30,2820.62,1974.43,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.lifestylestores.com/in/en/search/?text=Roadster+Coat,2025-10-29
Vero Moda,Hoodie,Vero Moda Hoodie,Blend,Westside,Winter,3.5,25,2909.81,2182.36,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,https://www.westside.com/search?q=Vero+Moda+Hoodie,2025-10-29
Allen Solly,Coat,Allen Solly Coat,Leather,Ajio,Winter,4.4,40,6670.04,4002.02,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.ajio.com/search/?text=Allen+Solly+Coat,2025-10-29
Mast & Harbour,Jeans,Mast & Harbour Jeans,Linen,Shoppers Stop,Winter,3.8,0,656.41,656.41,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400,https://www.shoppersstop.com/search?q=Mast+&+Harbour+Jeans,2025-10-29
Marks & Spencer,Dress,Marks & Spencer Dress,Blend,Lifestyle,Winter,4.3,10,4675.13,4207.62,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.lifestylestores.com/in/en/search/?text=Marks+&+Spencer+Dress,2025-10-29
Only,Shirt,Only Shirt,Linen,Ajio,Winter,4.0,25,3165.38,2374.03,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.ajio.com/search/?text=Only+Shirt,2025-10-29
Athena,Polo,Athena Polo,Synthetic,Myntra,Summer,4.2,15,270.47,229.9,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.myntra.com/shop/Athena+Polo,2025-10-29
H&M,Pants,H&M Pants,Blend,Shoppers Stop,Monsoon,4.1,15,1212.69,1030.78,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.shoppersstop.com/search?q=H&M+Pants,2025-10-29
US Polo Assn,Skirt,US Polo Assn Skirt,Leather,Flipkart,Monsoon,3.9,15,1528.03,1298.83,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.flipkart.com/search?q=US+Polo+Assn+Skirt,2025-10-29
Levi's,Hoodie,Levi's Hoodie,Viscose,Westside,Spring,4.1,15,2050.35,1742.8,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,https://www.westside.com/search?q=Levi's+Hoodie,2025-10-29
Zara,T-Shirt,Zara T-Shirt,Cotton,Lifestyle,Summer,4.3,50,2003.76,1001.88,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.lifestylestores.com/in/en/search/?text=Zara+T-Shirt,2025-10-29
Puma,Skirt,Puma Skirt,Silk,Flipkart,Monsoon,3.8,25,2689.23,2016.92,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.flipkart.com/search?q=Puma+Skirt,2025-10-29
Puma,Hoodie,Puma Hoodie,Polyester,Amazon India,Spring,3.5,40,1346.83,808.1,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,https://www.amazon.in/s?k=Puma+Hoodie,2025-10-29
Louis Philippe,Coat,Louis Philippe Coat,Synthetic,Flipkart,Summer,4.6,60,13212.49,5284.99,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.flipkart.com/search?q=Louis+Philippe+Coat,2025-10-29
Being Human,T-Shirt,Being Human T-Shirt,Denim,Flipkart,Winter,3.9,25,973.05,729.79,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.flipkart.com/search?q=Being+Human+T-Shirt,2025-10-29
Flying Machine,Coat,Flying Machine Coat,Polyester,Shoppers Stop,Monsoon,3.7,25,3627.38,2720.53,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.shoppersstop.com/search?q=Flying+Machine+Coat,2025-10-29
Nike,Hoodie,Nike Hoodie,Blend,Reliance Trends,Winter,4.1,10,2689.2,2420.28,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,https://www.reliancetrends.com/search?q=Nike+Hoodie,2025-10-29
Van Heusen,Skirt,Van Heusen Skirt,Polyester,Max Fashion,Winter,4.3,10,1360.08,1224.07,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.maxfashion.in/in/en/search/?text=Van+Heusen+Skirt,2025-10-29
Allen Solly,Pants,Allen Solly Pants,Viscose,Flipkart,Winter,4.1,60,1801.54,720.61,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.flipkart.com/search?q=Allen+Solly+Pants,2025-10-29
Allen Solly,Polo,Allen Solly Polo,Silk,Myntra,Summer,4.6,20,1911.41,1529.13,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.myntra.com/shop/Allen+Solly+Polo,2025-10-29
Roadster,Shirt,Roadster Shirt,Synthetic,Shoppers Stop,Summer,3.5,0,892.86,892.86,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.shoppersstop.com/search?q=Roadster+Shirt,2025-10-29
Peter England,Hoodie,Peter England Hoodie,Blend,Amazon India,Summer,3.6,25,1345.04,1008.78,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,https://www.amazon.in/s?k=Peter+England+Hoodie,2025-10-29
Forever New,Sweater,Forever New Sweater,Blend,Flipkart,All-Season,4.0,30,1387.22,971.06,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.flipkart.com/search?q=Forever+New+Sweater,2025-10-29
Peter England,Pants,Peter England Pants,Polyester,Lifestyle,All-Season,3.8,25,2317.59,1738.19,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.lifestylestores.com/in/en/search/?text=Peter+England+Pants,2025-10-29
Adidas,Polo,Adidas Polo,Leather,Reliance Trends,Monsoon,3.6,20,3348.16,2678.53,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.reliancetrends.com/search?q=Adidas+Polo,2025-10-29
Allen Solly,T-Shirt,Allen Solly T-Shirt,Viscose,Amazon India,Winter,4.1,40,760.59,456.35,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.amazon.in/s?k=Allen+Solly+T-Shirt,2025-10-29
Mast & Harbour,Jacket,Mast & Harbour Jacket,Synthetic,Flipkart,Spring,4.2,70,3593.85,1078.15,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400,https://www.flipkart.com/search?q=Mast+&+Harbour+Jacket,2025-10-29
Roadster,Dress,Roadster Dress,Silk,Myntra,Monsoon,4.2,30,1206.06,844.24,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.myntra.com/shop/Roadster+Dress,2025-10-29
Wrogn,Shirt,Wrogn Shirt,Polyester,Lifestyle,Spring,3.6,25,1115.63,836.73,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.lifestylestores.com/in/en/search/?text=Wrogn+Shirt,2025-10-29
W for Woman,Blazer,W for Woman Blazer,Silk,Ajio,Summer,3.6,0,3526.93,3526.93,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.ajio.com/search/?text=W+for+Woman+Blazer,2025-10-29
Mast & Harbour,Dress,Mast & Harbour Dress,Linen,Flipkart,Summer,3.9,15,706.73,600.72,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.flipkart.com/search?q=Mast+&+Harbour+Dress,2025-10-29
Raymond,Hoodie,Raymond Hoodie,Polyester,Shoppers Stop,Summer,4.1,30,4881.04,3416.73,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,https://www.shoppersstop.com/search?q=Raymond+Hoodie,2025-10-29
Raymond,Pants,Raymond Pants,Polyester,Shoppers Stop,All-Season,4.2,40,6078.88,3647.33,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.shoppersstop.com/search?q=Raymond+Pants,2025-10-29
Levi's,Sweater,Levi's Sweater,Denim,Westside,Monsoon,4.0,25,4782.85,3587.14,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.westside.com/search?q=Levi's+Sweater,2025-10-29
Levi's,Dress,Levi's Dress,Linen,Max Fashion,All-Season,4.5,15,3410.52,2898.94,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.maxfashion.in/in/en/search/?text=Levi's+Dress,2025-10-29
Louis Philippe,Skirt,Louis Philippe Skirt,Wool,Lifestyle,Spring,3.9,15,4458.35,3789.6,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.lifestylestores.com/in/en/search/?text=Louis+Philippe+Skirt,2025-10-29
Van Heusen,Skirt,Van Heusen Skirt,Silk,Reliance Trends,Monsoon,4.7,30,2750.68,1925.48,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.reliancetrends.com/search?q=Van+Heusen+Skirt,2025-10-29
W for Woman,Jacket,W for Woman Jacket,Viscose,Shoppers Stop,Summer,3.6,10,2914.97,2623.47,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400,https://www.shoppersstop.com/search?q=W+for+Woman+Jacket,2025-10-29
Puma,Jeans,Puma Jeans,Polyester,Flipkart,Monsoon,4.0,30,3850.76,2695.53,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400,https://www.flipkart.com/search?q=Puma+Jeans,2025-10-29
Tommy Hilfiger,Sweater,Tommy Hilfiger Sweater,Wool,Lifestyle,All-Season,4.6,0,3615.29,3615.29,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.lifestylestores.com/in/en/search/?text=Tommy+Hilfiger+Sweater,2025-10-29
Tommy Hilfiger,Shirt,Tommy Hilfiger Shirt,Polyester,Shoppers Stop,Winter,4.6,15,6610.62,5619.03,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.shoppersstop.com/search?q=Tommy+Hilfiger+Shirt,2025-10-29
Raymond,Jeans,Raymond Jeans,Polyester,Reliance Trends,Winter,4.1,20,3438.89,2751.11,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400,https://www.reliancetrends.com/search?q=Raymond+Jeans,2025-10-29
Puma,Polo,Puma Polo,Polyester,Shoppers Stop,Summer,4.0,25,2980.24,2235.18,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.shoppersstop.com/search?q=Puma+Polo,2025-10-29
US Polo Assn,Dress,US Polo Assn Dress,Wool,Amazon India,All-Season,3.7,10,2665.73,2399.15,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.amazon.in/s?k=US+Polo+Assn+Dress,2025-10-29
Van Heusen,Shirt,Van Heusen Shirt,Viscose,Westside,Summer,4.0,15,1140.13,969.11,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.westside.com/search?q=Van+Heusen+Shirt,2025-10-29
Flying Machine,Coat,Flying Machine Coat,Cotton,Max Fashion,Spring,4.0,15,958.75,814.93,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.maxfashion.in/in/en/search/?text=Flying+Machine+Coat,2025-10-29
H&M,Chinos,H&M Chinos,Synthetic,Shoppers Stop,Summer,4.1,10,1393.08,1253.77,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.shoppersstop.com/search?q=H&M+Chinos,2025-10-29
