brand,category,material,retailer,season,rating,discount_percent,original_price,current_price,date_scraped
Van Heusen,Jacket,Synthetic,Ajio,All-Season,4.0,0,2071.45,2071.45,2025-10-24
Raymond,Pants,Leather,Myntra,Winter,4.2,40,9216.57,5529.94,2025-10-24
Adidas,Jacket,Linen,Lifestyle,Winter,3.8,15,6529.61,5550.16,2025-10-24
Puma,Hoodie,Polyester,Reliance Trends,Winter,3.8,30,2390.33,1673.23,2025-10-24
Forever New,Pants,Viscose,Shoppers Stop,Summer,3.7,15,4626.01,3932.11,2025-10-24
US Polo Assn,T-Shirt,Leather,Amazon India,Winter,3.9,15,1347.45,1145.33,2025-10-24
Roadster,Skirt,Synthetic,Ajio,Spring,3.7,15,475.09,403.83,2025-10-24
Adidas,Skirt,Linen,Shoppers Stop,All-Season,3.7,50,3960.13,1980.07,2025-10-24
Puma,Coat,Denim,Reliance Trends,Spring,3.7,20,4085.29,3268.24,2025-10-24
Only,Pants,Silk,Lifestyle,Monsoon,3.9,0,2749.68,2749.68,2025-10-24
Marks & Spencer,Jacket,Linen,Ajio,Summer,4.5,50,6662.66,3331.33,2025-10-24
Van Heusen,Hoodie,Blend,Max Fashion,Spring,4.0,30,1916.62,1341.63,2025-10-24
Flying Machine,Shirt,Polyester,Lifestyle,Spring,3.6,30,753.64,527.55,2025-10-24
Roadster,Shirt,Blend,Max Fashion,Winter,3.5,40,1312.2,787.32,2025-10-24
Roadster,Dress,Synthetic,Shoppers Stop,Summer,3.9,15,1060.11,901.09,2025-10-24
Nike,Chinos,Leather,Westside,Spring,3.8,30,4243.84,2970.69,2025-10-24
Flying Machine,Hoodie,Wool,Reliance Trends,Monsoon,3.4,10,1178.2,1060.38,2025-10-24
Van Heusen,Pants,Denim,Shoppers Stop,Monsoon,4.6,25,1582.17,1186.63,2025-10-24
Tommy Hilfiger,Hoodie,Silk,Shoppers Stop,Summer,4.6,10,6403.37,5763.03,2025-10-24
US Polo Assn,Skirt,Leather,Westside,Winter,3.9,10,3067.03,2760.33,2025-10-24
US Polo Assn,Polo,Cotton,Amazon India,All-Season,4.0,25,878.09,658.57,2025-10-24
Flying Machine,Sweater,Linen,Myntra,Spring,3.5,10,1402.36,1262.13,2025-10-24
H&M,Skirt,Silk,Shoppers Stop,Winter,3.6,10,1206.21,1085.59,2025-10-24
Mast & Harbour,Polo,Polyester,Myntra,Summer,3.5,25,816.89,612.67,2025-10-24
HRX,Sweater,Cotton,Myntra,Monsoon,4.0,15,1229.73,1045.27,2025-10-24
Zara,Sweater,Cotton,Lifestyle,Summer,4.3,25,5655.82,4241.87,2025-10-24
Roadster,Pants,Silk,Flipkart,Summer,3.7,10,685.99,617.39,2025-10-24
Flying Machine,Polo,Synthetic,Westside,All-Season,3.6,25,646.03,484.52,2025-10-24
HRX,Coat,Polyester,Westside,All-Season,3.5,30,2813.63,1969.54,2025-10-24
Being Human,Shirt,Denim,Max Fashion,Winter,3.7,0,866.22,866.22,2025-10-24
Adidas,Jeans,Polyester,Amazon India,All-Season,4.2,25,2972.54,2229.4,2025-10-24
Marks & Spencer,Polo,Denim,Reliance Trends,All-Season,4.6,60,5748.63,2299.45,2025-10-24
Being Human,Chinos,Polyester,Reliance Trends,Summer,3.8,0,573.99,573.99,2025-10-24
Allen Solly,Hoodie,Polyester,Max Fashion,Winter,4.6,25,1494.42,1120.82,2025-10-24
W for Woman,Hoodie,Wool,Westside,Monsoon,4.1,15,1337.76,1137.09,2025-10-24
Puma,Chinos,Wool,Amazon India,Winter,4.0,15,1209.13,1027.76,2025-10-24
Calvin Klein,Hoodie,Viscose,Shoppers Stop,Winter,4.7,30,4287.71,3001.4,2025-10-24
Levi's,Chinos,Leather,Lifestyle,Spring,3.9,20,5623.11,4498.49,2025-10-24
Athena,Blazer,Leather,Westside,Winter,3.5,25,3113.73,2335.3,2025-10-24
Vero Moda,Dress,Silk,Reliance Trends,All-Season,4.2,0,1838.62,1838.62,2025-10-24
Mast & Harbour,Chinos,Polyester,Lifestyle,Winter,4.0,20,1203.81,963.05,2025-10-24
HRX,Pants,Polyester,Amazon India,Summer,3.7,40,784.93,470.96,2025-10-24
Mast & Harbour,Hoodie,Leather,Flipkart,Monsoon,3.6,10,640.65,576.58,2025-10-24
Peter England,Blazer,Viscose,Lifestyle,Spring,4.1,25,1846.39,1384.8,2025-10-24
Vero Moda,Polo,Blend,Myntra,Spring,3.4,40,2022.33,1213.4,2025-10-24
Vero Moda,Hoodie,Denim,Amazon India,Winter,3.9,15,1473.58,1252.54,2025-10-24
Flying Machine,T-Shirt,Synthetic,Ajio,Spring,3.8,20,342.06,273.65,2025-10-24
W for Woman,T-Shirt,Blend,Max Fashion,Spring,3.8,30,794.11,555.88,2025-10-24
Only,Coat,Denim,Flipkart,Monsoon,4.0,30,7723.7,5406.59,2025-10-24
Puma,Pants,Viscose,Ajio,Spring,3.7,15,1957.07,1663.51,2025-10-24
Nike,Pants,Cotton,Amazon India,All-Season,3.8,25,4237.35,3178.01,2025-10-24
Peter England,Jeans,Polyester,Max Fashion,All-Season,3.6,50,1785.26,892.63,2025-10-24
AND,Chinos,Wool,Ajio,Winter,4.1,60,3613.32,1445.33,2025-10-24
W for Woman,Coat,Linen,Westside,Summer,3.6,30,4802.85,3362.0,2025-10-24
Calvin Klein,Shirt,Denim,Westside,All-Season,4.2,60,14961.81,5984.73,2025-10-24
Marks & Spencer,Chinos,Blend,Flipkart,All-Season,4.6,40,6074.08,3644.45,2025-10-24
US Polo Assn,Hoodie,Silk,Shoppers Stop,Spring,3.6,20,2617.52,2094.01,2025-10-24
Zara,Blazer,Leather,Shoppers Stop,All-Season,4.5,30,18493.86,12945.7,2025-10-24
Raymond,Skirt,Denim,Ajio,Winter,4.3,20,1999.91,1599.93,2025-10-24
HRX,Coat,Linen,Amazon India,All-Season,3.9,50,3595.2,1797.6,2025-10-24
W for Woman,Polo,Wool,Ajio,Spring,3.6,50,3427.42,1713.71,2025-10-24
Tommy Hilfiger,Sweater,Leather,Westside,Summer,4.9,15,7171.55,6095.82,2025-10-24
Nike,Blazer,Cotton,Ajio,Monsoon,3.6,0,3477.89,3477.89,2025-10-24
Van Heusen,Dress,Viscose,Reliance Trends,Summer,4.0,40,3097.92,1858.75,2025-10-24
AND,Coat,Synthetic,Shoppers Stop,All-Season,3.5,10,5787.49,5208.74,2025-10-24
Flying Machine,Coat,Cotton,Max Fashion,Monsoon,3.5,15,2286.35,1943.4,2025-10-24
Zara,Skirt,Cotton,Shoppers Stop,Spring,4.8,30,5726.36,4008.45,2025-10-24
Allen Solly,Blazer,Viscose,Amazon India,All-Season,4.0,40,2857.69,1714.61,2025-10-24
W for Woman,Dress,Linen,Reliance Trends,All-Season,3.6,20,1528.58,1222.87,2025-10-24
Louis Philippe,Blazer,Synthetic,Amazon India,Winter,4.1,20,2472.18,1977.74,2025-10-24
Zara,Chinos,Synthetic,Max Fashion,Summer,4.8,25,1938.32,1453.74,2025-10-24
Flying Machine,Pants,Leather,Amazon India,All-Season,3.6,10,1061.9,955.71,2025-10-24
Marks & Spencer,Blazer,Synthetic,Amazon India,Summer,4.1,15,7298.2,6203.47,2025-10-24
Roadster,Jacket,Silk,Westside,Winter,3.7,40,2079.52,1247.71,2025-10-24
Athena,Jacket,Cotton,Westside,Winter,3.8,15,2144.46,1822.79,2025-10-24
Puma,T-Shirt,Cotton,Lifestyle,All-Season,3.6,60,2550.06,1020.02,2025-10-24
W for Woman,Sweater,Silk,Myntra,Monsoon,3.9,20,2194.97,1755.98,2025-10-24
Being Human,Sweater,Linen,Shoppers Stop,Monsoon,3.9,60,2797.48,1118.99,2025-10-24
Calvin Klein,Shirt,Linen,Amazon India,Summer,4.3,10,4918.33,4426.5,2025-10-24
Peter England,Chinos,Linen,Myntra,Winter,3.6,50,3297.67,1648.84,2025-10-24
Raymond,Hoodie,Wool,Ajio,Winter,4.2,20,4308.88,3447.1,2025-10-24
Marks & Spencer,Polo,Polyester,Westside,Monsoon,4.6,40,2256.04,1353.62,2025-10-24
Nike,Hoodie,Silk,Amazon India,Summer,3.7,25,2943.52,2207.64,2025-10-24
Allen Solly,Skirt,Denim,Flipkart,Summer,3.9,30,1565.73,1096.01,2025-10-24
Levi's,Jacket,Linen,Westside,Spring,4.3,60,16940.41,6776.16,2025-10-24
W for Woman,Dress,Leather,Reliance Trends,Spring,3.8,40,5062.96,3037.78,2025-10-24
Puma,Jeans,Blend,Ajio,Spring,4.0,25,2866.71,2150.04,2025-10-24
Calvin Klein,Blazer,Cotton,Amazon India,Spring,4.9,40,11447.76,6868.66,2025-10-24
H&M,Coat,Cotton,Shoppers Stop,All-Season,3.7,15,1372.33,1166.48,2025-10-24
Marks & Spencer,Jacket,Cotton,Lifestyle,Monsoon,4.4,15,5495.55,4671.22,2025-10-24
Allen Solly,Chinos,Linen,Westside,Summer,4.2,30,1518.78,1063.14,2025-10-24
Being Human,Blazer,Linen,Shoppers Stop,All-Season,4.1,10,2542.63,2288.37,2025-10-24
W for Woman,Sweater,Leather,Lifestyle,All-Season,4.1,10,2194.48,1975.03,2025-10-24
Louis Philippe,Sweater,Polyester,Westside,Spring,4.1,0,3050.25,3050.25,2025-10-24
Calvin Klein,Blazer,Polyester,Shoppers Stop,Summer,4.2,20,14222.24,11377.8,2025-10-24
Roadster,Pants,Synthetic,Myntra,Spring,3.8,30,857.69,600.38,2025-10-24
Calvin Klein,Chinos,Blend,Flipkart,All-Season,4.5,15,2265.18,1925.4,2025-10-24
Van Heusen,Skirt,Leather,Myntra,Monsoon,4.0,40,1680.45,1008.27,2025-10-24
US Polo Assn,Coat,Polyester,Flipkart,All-Season,4.2,10,4206.17,3785.56,2025-10-24
Calvin Klein,Pants,Polyester,Lifestyle,Spring,4.6,20,6320.9,5056.72,2025-10-24
AND,Blazer,Wool,Flipkart,Monsoon,3.5,40,3109.69,1865.81,2025-10-24
Only,Dress,Leather,Lifestyle,Winter,3.5,25,3633.05,2724.79,2025-10-24
Allen Solly,Skirt,Linen,Westside,Summer,4.7,20,1167.35,933.88,2025-10-24
Only,Dress,Synthetic,Ajio,Winter,3.8,30,1686.74,1180.72,2025-10-24
Raymond,Skirt,Denim,Amazon India,All-Season,4.8,30,4844.54,3391.17,2025-10-24
Vero Moda,T-Shirt,Silk,Flipkart,Winter,4.1,40,1870.36,1122.22,2025-10-24
Raymond,Dress,Blend,Flipkart,Winter,4.8,0,2107.31,2107.31,2025-10-24
Being Human,Chinos,Viscose,Flipkart,Summer,4.0,70,3176.98,953.09,2025-10-24
Adidas,Skirt,Denim,Max Fashion,Winter,3.7,40,3523.96,2114.38,2025-10-24
Marks & Spencer,Dress,Wool,Shoppers Stop,Spring,4.8,30,9753.49,6827.45,2025-10-24
Marks & Spencer,Hoodie,Cotton,Reliance Trends,Summer,4.6,0,1284.93,1284.93,2025-10-24
Only,Dress,Linen,Max Fashion,Monsoon,3.8,10,3128.54,2815.69,2025-10-24
Vero Moda,Dress,Blend,Reliance Trends,Winter,3.4,15,1450.92,1233.29,2025-10-24
HRX,Jeans,Viscose,Ajio,Summer,3.6,40,2043.53,1226.12,2025-10-24
Nike,Chinos,Leather,Lifestyle,Monsoon,4.1,20,3434.31,2747.45,2025-10-24
Allen Solly,T-Shirt,Polyester,Reliance Trends,Spring,4.3,30,834.16,583.91,2025-10-24
Levi's,Dress,Silk,Shoppers Stop,Monsoon,4.3,70,19582.61,5874.78,2025-10-24
Athena,Jeans,Denim,Max Fashion,Monsoon,3.5,30,1293.49,905.44,2025-10-24
Adidas,Skirt,Cotton,Amazon India,Monsoon,3.8,70,11117.78,3335.33,2025-10-24
Tommy Hilfiger,Coat,Viscose,Lifestyle,Spring,4.7,15,6810.26,5788.72,2025-10-24
Puma,Jeans,Viscose,Max Fashion,All-Season,3.5,60,2604.59,1041.84,2025-10-24
Tommy Hilfiger,Chinos,Polyester,Reliance Trends,Spring,4.5,25,6606.42,4954.81,2025-10-24
Peter England,Pants,Viscose,Amazon India,Monsoon,3.5,15,639.76,543.79,2025-10-24
Roadster,Dress,Viscose,Amazon India,All-Season,3.7,10,633.99,570.59,2025-10-24
W for Woman,Skirt,Synthetic,Westside,Winter,4.0,20,1888.3,1510.64,2025-10-24
Tommy Hilfiger,Dress,Wool,Westside,Spring,4.2,25,12343.98,9257.99,2025-10-24
Zara,Jacket,Wool,Max Fashion,Monsoon,4.8,25,10888.25,8166.19,2025-10-24
AND,Skirt,Leather,Westside,Monsoon,4.2,15,2341.6,1990.36,2025-10-24
Roadster,Pants,Blend,Max Fashion,Winter,3.4,30,452.83,316.98,2025-10-24
Forever New,Coat,Silk,Lifestyle,All-Season,4.1,30,13917.03,9741.92,2025-10-24
Levi's,Jeans,Viscose,Flipkart,Spring,4.1,25,4090.85,3068.14,2025-10-24
H&M,Blazer,Wool,Amazon India,All-Season,4.1,20,3646.5,2917.2,2025-10-24
Raymond,Hoodie,Cotton,Ajio,Spring,4.3,0,2535.03,2535.03,2025-10-24
Van Heusen,Jeans,Linen,Reliance Trends,Monsoon,4.3,20,1575.11,1260.09,2025-10-24
Adidas,Hoodie,Viscose,Myntra,Monsoon,4.0,15,1136.89,966.35,2025-10-24
AND,Dress,Silk,Flipkart,Monsoon,4.1,30,4943.88,3460.72,2025-10-24
Peter England,Polo,Silk,Myntra,All-Season,3.8,15,1879.39,1597.48,2025-10-24
Forever New,Jacket,Blend,Ajio,Summer,3.7,25,4921.09,3690.82,2025-10-24
Vero Moda,Blazer,Polyester,Max Fashion,Spring,4.2,30,2050.38,1435.27,2025-10-24
Forever New,Chinos,Cotton,Lifestyle,Summer,4.1,25,2564.21,1923.16,2025-10-24
H&M,Jeans,Polyester,Lifestyle,Winter,3.5,0,846.7,846.7,2025-10-24
Marks & Spencer,Blazer,Silk,Flipkart,All-Season,4.2,10,6356.7,5721.03,2025-10-24
US Polo Assn,Pants,Polyester,Ajio,Winter,3.5,30,2376.54,1663.57,2025-10-24
Louis Philippe,Sweater,Viscose,Shoppers Stop,All-Season,4.3,15,1674.57,1423.39,2025-10-24
Adidas,Pants,Blend,Reliance Trends,Summer,4.1,10,2754.2,2478.78,2025-10-24
Levi's,Shirt,Synthetic,Myntra,All-Season,4.0,10,2906.5,2615.85,2025-10-24
Mast & Harbour,Shirt,Cotton,Shoppers Stop,Spring,4.0,10,540.91,486.82,2025-10-24
Zara,Polo,Synthetic,Myntra,Monsoon,4.2,15,978.9,832.06,2025-10-24
Forever New,Pants,Blend,Shoppers Stop,Spring,4.2,30,2896.03,2027.22,2025-10-24
Roadster,Jeans,Linen,Flipkart,Monsoon,3.9,40,1972.45,1183.47,2025-10-24
Only,Shirt,Leather,Max Fashion,Spring,4.1,10,2255.23,2029.71,2025-10-24
Van Heusen,Dress,Cotton,Amazon India,Monsoon,4.6,30,3070.62,2149.43,2025-10-24
Wrogn,Sweater,Synthetic,Lifestyle,Spring,4.1,25,1126.8,845.1,2025-10-24
Breakbounce,Jeans,Cotton,Flipkart,All-Season,3.7,20,928.96,743.17,2025-10-24
Peter England,Chinos,Blend,Ajio,Spring,4.0,15,1050.49,892.92,2025-10-24
Breakbounce,Polo,Cotton,Max Fashion,All-Season,3.5,30,1171.01,819.7,2025-10-24
Wrogn,Hoodie,Silk,Flipkart,Winter,3.6,0,1218.14,1218.14,2025-10-24
Tommy Hilfiger,Shirt,Denim,Max Fashion,Monsoon,4.7,25,4767.12,3575.34,2025-10-24
Allen Solly,Jeans,Cotton,Amazon India,Monsoon,4.6,30,3199.12,2239.38,2025-10-24
Van Heusen,Pants,Cotton,Max Fashion,Spring,4.5,15,1276.88,1085.35,2025-10-24
Vero Moda,Jacket,Leather,Lifestyle,Winter,4.2,50,16337.06,8168.53,2025-10-24
Puma,Chinos,Cotton,Myntra,Spring,3.4,20,2424.97,1939.98,2025-10-24
Peter England,Pants,Denim,Lifestyle,Spring,3.5,40,2437.9,1462.74,2025-10-24
H&M,Dress,Denim,Reliance Trends,All-Season,3.9,20,754.52,603.61,2025-10-24
Roadster,Sweater,Wool,Reliance Trends,Summer,3.7,20,1184.8,947.84,2025-10-24
Marks & Spencer,Sweater,Leather,Reliance Trends,All-Season,4.6,30,7062.84,4943.99,2025-10-24
Vero Moda,Hoodie,Synthetic,Ajio,Monsoon,4.0,30,2584.09,1808.86,2025-10-24
Vero Moda,T-Shirt,Polyester,Lifestyle,All-Season,3.5,25,688.58,516.43,2025-10-24
Calvin Klein,Jeans,Denim,Reliance Trends,Winter,4.8,15,6933.49,5893.47,2025-10-24
Tommy Hilfiger,Coat,Polyester,Ajio,All-Season,4.6,30,14470.12,10129.09,2025-10-24
Allen Solly,Blazer,Silk,Reliance Trends,Winter,4.5,15,3522.84,2994.41,2025-10-24
Flying Machine,Jeans,Leather,Lifestyle,Summer,3.9,40,3531.78,2119.07,2025-10-24
Forever New,Polo,Linen,Shoppers Stop,All-Season,4.0,30,2583.84,1808.69,2025-10-24
Van Heusen,Polo,Silk,Reliance Trends,Spring,4.5,10,924.91,832.42,2025-10-24
Athena,Sweater,Blend,Reliance Trends,All-Season,3.6,20,1310.78,1048.62,2025-10-24
Van Heusen,Jeans,Wool,Reliance Trends,All-Season,4.7,10,2286.68,2058.01,2025-10-24
Athena,Shirt,Blend,Max Fashion,Monsoon,3.6,25,470.79,353.09,2025-10-24
HRX,Shirt,Wool,Amazon India,Summer,3.9,40,2062.64,1237.59,2025-10-24
Roadster,Coat,Polyester,Flipkart,Summer,4.1,15,2078.11,1766.39,2025-10-24
Tommy Hilfiger,T-Shirt,Wool,Lifestyle,Monsoon,4.7,60,8142.11,3256.85,2025-10-24
HRX,Polo,Silk,Reliance Trends,Monsoon,3.7,30,1041.14,728.8,2025-10-24
W for Woman,Skirt,Leather,Amazon India,Winter,4.0,50,3372.41,1686.2,2025-10-24
Levi's,Jeans,Leather,Shoppers Stop,Winter,4.1,30,7062.69,4943.88,2025-10-24
Vero Moda,Pants,Blend,Ajio,Winter,3.7,40,3809.09,2285.46,2025-10-24
Tommy Hilfiger,Chinos,Silk,Reliance Trends,Monsoon,4.6,25,11134.98,8351.24,2025-10-24
Forever New,Blazer,Blend,Ajio,Monsoon,4.0,25,7017.16,5262.87,2025-10-24
AND,Jeans,Cotton,Amazon India,Summer,4.1,0,1584.14,1584.14,2025-10-24
Puma,Dress,Silk,Max Fashion,Summer,4.2,10,3686.48,3317.83,2025-10-24
Louis Philippe,Hoodie,Denim,Westside,Spring,4.2,60,5802.36,2320.94,2025-10-24
AND,Jeans,Blend,Max Fashion,Spring,3.9,0,2283.95,2283.95,2025-10-24
Zara,Polo,Linen,Reliance Trends,Monsoon,4.7,30,2792.65,1954.86,2025-10-24
Forever New,Chinos,Leather,Flipkart,Winter,3.8,60,13350.37,5340.15,2025-10-24
Tommy Hilfiger,Skirt,Silk,Amazon India,Monsoon,4.5,30,5663.57,3964.5,2025-10-24
Breakbounce,Jacket,Leather,Westside,Winter,3.8,10,2721.49,2449.34,2025-10-24
Roadster,Jacket,Denim,Lifestyle,Winter,4.1,0,1706.7,1706.7,2025-10-24
Tommy Hilfiger,Dress,Synthetic,Reliance Trends,Summer,4.3,0,5367.02,5367.02,2025-10-24
Being Human,T-Shirt,Silk,Flipkart,All-Season,3.6,10,499.16,449.25,2025-10-24
HRX,Polo,Linen,Lifestyle,Winter,4.2,20,684.89,547.91,2025-10-24
AND,Blazer,Denim,Lifestyle,Winter,4.0,40,6336.31,3801.79,2025-10-24
Forever New,Skirt,Viscose,Westside,All-Season,4.0,10,1074.53,967.07,2025-10-24
Only,Blazer,Leather,Lifestyle,Summer,3.8,10,3716.96,3345.27,2025-10-24
Forever New,Jacket,Silk,Amazon India,Winter,3.6,30,9450.04,6615.03,2025-10-24
H&M,Pants,Leather,Flipkart,All-Season,3.7,15,2062.17,1752.84,2025-10-24
Athena,Pants,Wool,Amazon India,Summer,3.5,15,709.22,602.84,2025-10-24
Peter England,Pants,Linen,Reliance Trends,Winter,4.2,50,1207.1,603.55,2025-10-24
Mast & Harbour,Dress,Leather,Flipkart,All-Season,4.1,25,1196.26,897.2,2025-10-24
Athena,Sweater,Polyester,Shoppers Stop,Monsoon,3.8,10,940.16,846.14,2025-10-24
Nike,Hoodie,Polyester,Lifestyle,Winter,4.2,20,2578.09,2062.47,2025-10-24
Allen Solly,Chinos,Cotton,Max Fashion,Winter,4.5,25,1828.68,1371.51,2025-10-24
Being Human,Coat,Viscose,Westside,All-Season,3.9,40,4608.8,2765.28,2025-10-24
Roadster,Dress,Blend,Reliance Trends,All-Season,3.8,0,401.92,401.92,2025-10-24
Mast & Harbour,Hoodie,Wool,Max Fashion,Monsoon,4.1,25,373.2,279.9,2025-10-24
Marks & Spencer,Jeans,Wool,Westside,Summer,4.6,20,3262.0,2609.6,2025-10-24
AND,T-Shirt,Cotton,Flipkart,Monsoon,3.5,20,855.19,684.16,2025-10-24
Louis Philippe,T-Shirt,Synthetic,Flipkart,Summer,4.5,25,1176.78,882.58,2025-10-24
Forever New,Polo,Blend,Shoppers Stop,All-Season,3.9,10,1184.06,1065.66,2025-10-24
Calvin Klein,Polo,Wool,Ajio,Winter,4.2,0,1294.54,1294.54,2025-10-24
Van Heusen,Shirt,Leather,Ajio,All-Season,4.5,20,1816.14,1452.91,2025-10-24
Tommy Hilfiger,Skirt,Polyester,Shoppers Stop,All-Season,4.5,10,7661.14,6895.03,2025-10-24
Louis Philippe,Pants,Synthetic,Amazon India,All-Season,4.2,40,3176.24,1905.75,2025-10-24
Van Heusen,Polo,Denim,Myntra,Winter,4.0,60,3537.65,1415.06,2025-10-24
Roadster,Shirt,Polyester,Ajio,Monsoon,4.0,25,459.53,344.65,2025-10-24
Flying Machine,Skirt,Wool,Reliance Trends,Summer,3.9,20,1320.42,1056.34,2025-10-24
Breakbounce,Polo,Leather,Reliance Trends,Monsoon,3.8,40,1190.23,714.14,2025-10-24
Breakbounce,Jacket,Polyester,Shoppers Stop,Winter,4.2,15,2436.45,2070.98,2025-10-24
Nike,Sweater,Viscose,Lifestyle,Winter,3.9,25,5828.85,4371.63,2025-10-24
Mast & Harbour,Chinos,Cotton,Amazon India,All-Season,4.0,30,1616.31,1131.42,2025-10-24
Levi's,Blazer,Linen,Amazon India,Monsoon,4.1,15,4807.48,4086.36,2025-10-24
Vero Moda,T-Shirt,Wool,Shoppers Stop,Summer,3.8,50,3337.64,1668.82,2025-10-24
Nike,T-Shirt,Wool,Myntra,All-Season,4.2,15,1438.78,1222.96,2025-10-24
HRX,Jeans,Blend,Westside,Spring,4.2,25,1143.51,857.63,2025-10-24
Marks & Spencer,Chinos,Blend,Myntra,Summer,4.2,60,8161.96,3264.78,2025-10-24
Roadster,Polo,Denim,Max Fashion,Monsoon,3.6,20,751.44,601.15,2025-10-24
Tommy Hilfiger,Pants,Leather,Myntra,Summer,4.4,0,7949.06,7949.06,2025-10-24
Zara,Jacket,Silk,Ajio,All-Season,4.7,20,12353.65,9882.92,2025-10-24
Forever New,Coat,Wool,Flipkart,Summer,3.8,15,7660.37,6511.31,2025-10-24
Allen Solly,Pants,Leather,Westside,All-Season,4.4,0,3434.13,3434.13,2025-10-24
HRX,Shirt,Linen,Amazon India,All-Season,3.6,20,916.67,733.34,2025-10-24
H&M,Polo,Silk,Flipkart,Spring,3.5,0,1036.86,1036.86,2025-10-24
Van Heusen,Shirt,Viscose,Shoppers Stop,Summer,4.0,10,1222.66,1100.39,2025-10-24
Puma,Pants,Blend,Westside,All-Season,4.0,40,4233.34,2540.01,2025-10-24
Levi's,Skirt,Viscose,Reliance Trends,All-Season,4.0,10,2013.42,1812.08,2025-10-24
Tommy Hilfiger,Pants,Linen,Ajio,Monsoon,4.1,25,8912.89,6684.67,2025-10-24
Forever New,Chinos,Leather,Flipkart,Summer,3.5,30,5244.29,3671.0,2025-10-24
Nike,Jacket,Denim,Lifestyle,Monsoon,4.0,25,6866.55,5149.91,2025-10-24
Nike,Coat,Denim,Ajio,All-Season,4.2,40,9995.96,5997.57,2025-10-24
Nike,Chinos,Synthetic,Ajio,Monsoon,4.0,0,2087.45,2087.45,2025-10-24
Calvin Klein,Pants,Polyester,Myntra,Summer,4.8,20,4528.55,3622.84,2025-10-24
Calvin Klein,Chinos,Polyester,Ajio,All-Season,4.8,30,5558.33,3890.83,2025-10-24
Zara,Jacket,Blend,Myntra,Spring,4.2,30,11645.3,8151.71,2025-10-24
Mast & Harbour,Shirt,Linen,Reliance Trends,All-Season,4.1,60,2300.69,920.28,2025-10-24
Puma,Polo,Denim,Shoppers Stop,Winter,3.9,25,2960.12,2220.09,2025-10-24
Zara,Coat,Silk,Reliance Trends,Monsoon,4.3,15,7941.27,6750.08,2025-10-24
Levi's,Chinos,Cotton,Ajio,Summer,4.0,50,5979.58,2989.79,2025-10-24
Raymond,Pants,Linen,Amazon India,Winter,4.7,25,5415.6,4061.7,2025-10-24
Being Human,Jeans,Blend,Westside,Monsoon,4.2,40,2621.08,1572.65,2025-10-24
Wrogn,Skirt,Cotton,Max Fashion,Summer,3.5,40,1410.88,846.53,2025-10-24
Vero Moda,Blazer,Denim,Myntra,Summer,3.4,20,3628.6,2902.88,2025-10-24
Forever New,Hoodie,Blend,Ajio,Winter,3.9,20,2207.32,1765.86,2025-10-24
US Polo Assn,Chinos,Linen,Ajio,Monsoon,3.4,20,2695.22,2156.17,2025-10-24
Zara,Pants,Denim,Max Fashion,Spring,4.1,40,6451.42,3870.85,2025-10-24
Being Human,Coat,Viscose,Shoppers Stop,Summer,4.0,0,3269.4,3269.4,2025-10-24
HRX,Sweater,Leather,Amazon India,All-Season,3.7,50,4526.28,2263.14,2025-10-24
H&M,Sweater,Viscose,Shoppers Stop,Monsoon,4.1,15,1328.32,1129.07,2025-10-24
US Polo Assn,Jeans,Leather,Myntra,Monsoon,3.7,10,3832.83,3449.54,2025-10-24
Allen Solly,Shirt,Polyester,Lifestyle,All-Season,4.4,0,1730.62,1730.62,2025-10-24
Allen Solly,Coat,Cotton,Max Fashion,Winter,4.6,40,5126.58,3075.95,2025-10-24
Flying Machine,Jeans,Polyester,Reliance Trends,Monsoon,3.9,50,1702.65,851.33,2025-10-24
Being Human,Shirt,Polyester,Myntra,Summer,4.0,15,1198.68,1018.88,2025-10-24
Levi's,Sweater,Leather,Westside,Spring,4.4,0,4816.38,4816.38,2025-10-24
Puma,Jacket,Viscose,Lifestyle,Winter,3.9,30,7656.04,5359.23,2025-10-24
Athena,Shirt,Silk,Shoppers Stop,Winter,3.6,40,2576.54,1545.92,2025-10-24
Breakbounce,Shirt,Blend,Reliance Trends,Monsoon,3.9,40,1236.41,741.85,2025-10-24
Mast & Harbour,Hoodie,Silk,Myntra,Winter,3.4,30,585.08,409.56,2025-10-24
Forever New,Polo,Linen,Flipkart,Monsoon,4.1,15,1016.37,863.91,2025-10-24
Breakbounce,Jeans,Cotton,Westside,Summer,3.6,40,2566.09,1539.65,2025-10-24
Calvin Klein,Jacket,Synthetic,Flipkart,Summer,4.9,25,9146.8,6860.1,2025-10-24
Puma,Blazer,Silk,Reliance Trends,Spring,4.2,30,8742.18,6119.53,2025-10-24
US Polo Assn,Coat,Leather,Amazon India,Monsoon,3.9,30,7235.68,5064.97,2025-10-24
Peter England,Jeans,Leather,Flipkart,Monsoon,3.8,20,3072.01,2457.61,2025-10-24
Breakbounce,Hoodie,Synthetic,Lifestyle,Monsoon,4.1,20,803.67,642.93,2025-10-24
Marks & Spencer,Pants,Linen,Westside,Summer,4.3,50,9900.2,4950.1,2025-10-24
Levi's,Shirt,Denim,Westside,Spring,4.0,25,2130.35,1597.76,2025-10-24
Raymond,Shirt,Silk,Max Fashion,Summer,4.6,20,3917.1,3133.68,2025-10-24
Louis Philippe,Polo,Viscose,Amazon India,Winter,4.4,20,1735.38,1388.3,2025-10-24
